el	article	masculine singular definite article; the		
líquido	noun	liquid; fluid	Los líquidos cambian de forma fácilmente.	Liquids change shape easily.
alarma	noun	alarm (a summons to arms)	Tras la alarma, los soldados corrieron al muro.	After the alarm, the soldiers ran to the wall.
tigre	noun	tiger	Un tigre puede correr muy rápido al cazar.	A tiger can run very fast when hunting.
biblia	noun	bible (a comprehensive manual that describes something)	En música, ese diccionario sirve como biblia para estudiantes.	In music, that dictionary serves as a bible for students.
ardilla	noun	squirrel	Una ardilla gris vivía cerca del parque.	A gray squirrel lived near the park.
gigante	adj	giant, gigantic	Vimos mariposas gigantes en el parque.	We saw giant butterflies in the park.
gigante	noun	giant	El gigante pidió agua y pan.	The giant asked for water and bread.
elemento	noun	element (atmospheric forces)	Los marineros enfrentaron los elementos con calma y experiencia.	The sailors faced the elements with calm and experience.
sudo	xxx	xxx	xxx	xxx
picar	verb	to itch (to feel itchy; to feel a need to be scratched)	Cuando sudo, me pican las piernas.	When I sweat, my legs itch.
contraseña	noun	password	Por favor, ingresa tu contraseña segura.	Please enter your secure password.
cocer	verb	to boil	¿Puedes cocer los huevos durante diez minutos?	Can you boil the eggs for ten minutes?
referir	verb	to report	Ayer le referí el problema al jefe.	Yesterday I referred the problem to the boss.
agotar	verb	to exhaust, deplete, use up	Corrió tanto que se agotó enseguida.	They ran so much that they got exhausted right away.
esquiar	verb	to ski	Me gusta esquiar en invierno.	I like to ski in winter.
templo	noun	temple (a house of worship)	El templo antiguo está en la colina.	The ancient temple is on the hill.
ilusión	noun	illusion	Confundió la sombra con una ilusión.	They confused the shadow with an illusion.
cuaderno	noun	notebook	Necesito un cuaderno nuevo para matemáticas.	I need a new notebook for math.
gira	noun	tour (a journey through a list of places)	Su gira mundial agotó las entradas en todas partes.	Their world tour sold out everywhere.
petróleo	noun	petroleum, oil	El precio del petróleo subió por la guerra.	The price of oil rose because of the war.
manga	noun	sleeve	Tus mangas están demasiado largas hoy.	Your sleeves are too long today.
nieto	noun	grandchild; grandson	Mi nieto aprende a leer cada tarde.	My grandson is learning to read every afternoon.
jueves	noun	Thursday	El jueves tenemos examen de matemáticas.	On Thursday we have a math exam.
archivo	noun	archive	El archivo histórico guarda documentos valiosos.	The historical archive holds valuable documents.
decepcionado	adj	disappointed, gutted (UK), disillusioned	Ella quedó decepcionada porque cancelaron el concierto.	She was disappointed because they canceled the concert.
afortunado	adj	lucky, fortunate	Me siento muy afortunado hoy.	I feel very fortunate today.
bombero	noun	firefighter	El bombero apagó el incendio rápidamente.	The firefighter put out the fire quickly.
engordar	verb	to get fat, grow fat, fatten	Antes, yo engordaba con mucha facilidad.	Before, I used to gain weight very easily.
presupuesto	xxx	xxx	xxx	xxx
encargar	verb	to entrust	Me encargaron revisar los presupuestos para mañana.	I was tasked with reviewing the budgets for tomorrow.
ánimo	noun	soul, spirit, mood	Su estado de ánimo mejoró hoy.	Their mood improved today.
ánimo	intj	have courage!, cheer up!, keep your head up!, good luck!, chin up!	¡Ánimo, que ya casi llegas!	Keep going, you're almost there!
esforzar	verb	to encourage	Necesitamos esforzar los ánimos de la comunidad hoy.	We need to boost the community's spirits today.
químico	adj	chemical (of or relating to chemistry)	Usaron productos químicos seguros para limpiar.	They used safe chemicals to clean.
químico	noun	chemist (person working in chemistry)	Aquellas químicas enseñan seguridad en los experimentos.	Those women chemists teach safety in experiments.
anunciar	verb	to announce, to herald, to proclaim	El gobierno anunciará nuevas medidas mañana.	The government will announce new measures tomorrow.
señorita	noun	young woman	Esa señorita lleva un vestido azul claro.	That young lady is wearing a light blue dress.
escenario	noun	scenario	El escenario político cambia cada año.	The political landscape changes every year.
atropellar	verb	to run over; to drive over	Ayer un coche atropelló a mi vecino.	Yesterday a car hit my neighbor.
lámpara	noun	lamp	Encendí la lámpara para leer.	I turned on the lamp to read.
crudo	adj	raw (uncooked)	La carne cruda puede causar enfermedades.	Raw meat can cause illnesses.
crudo	noun	crude oil	Los crudos pesados requieren más tratamiento.	Heavy crude oils require more processing.
caluroso	adj	very hot, to a greater extent than caliente	Hoy fue un día muy caluroso.	Today was a very hot day.
beneficio	noun	benefit	Buscamos el beneficio de todos.	We seek the benefit of all.
temporada	noun	season, period, span of time	Esta temporada de lluvias fue intensa.	This rainy season was intense.
cucaracha	noun	cockroach	Vi una cucaracha en la cocina anoche.	I saw a cockroach in the kitchen last night.
educar	verb	to educate, instruct	Debemos educar a los niños.	We must educate children.
gasolina	noun	petrol, gasoline	La gasolina está cada vez más cara.	Gasoline is getting more and more expensive.
vistazo	noun	look, glance	Eché un vistazo al documento.	I took a look at the document.
guante	noun	glove (hand-wear)	Necesito guantes nuevos para la nieve.	I need new gloves for the snow.
positivo	adj	positive	El equipo mostró un espíritu muy positivo.	The team showed a very positive spirit.
superficie	noun	surface	La superficie del agua estaba tranquila.	The surface of the water was calm.
trece	num	thirteen	Tengo trece años y estudio.	I am thirteen years old and I study.
trece	noun	thirteen	Nació el trece de mayo.	They were born on May 13.
lata	noun	can, tin, tin can, canister (vessel)	Compré una lata de tomates hoy.	I bought a can of tomatoes today.
cebolla	noun	onion	Me gusta cortar cebolla para la ensalada.	I like chopping onions for the salad.
lotería	noun	lottery	Ganar la lotería puede cambiar una vida.	Winning the lottery can change a life.
existencia	noun	existence	La filosofía investiga la existencia y el sentido.	Philosophy investigates existence and meaning.
pesadilla	noun	nightmare	Esa película me dio pesadillas anoche.	That movie gave me nightmares last night.
poderoso	adj	powerful	El océano es poderoso y merece respeto.	The ocean is powerful and deserves respect.
conjunto	adj	joint	Hicieron un esfuerzo conjunto para ayudar.	They made a joint effort to help.
conjunto	noun	outfit	Lleva un conjunto azul muy bonito.	She is wearing a very nice blue outfit.
brasileño	adj	Brazilian	El equipo brasileño ganó el campeonato.	The Brazilian team won the championship.
brasileño	noun	Brazilian (native or inhabitant of Brazil) (usually male)	Conocí a un brasileño en la universidad.	I met a Brazilian at the university.
eficaz	adj	efficacious	Necesitamos herramientas eficaces para el proyecto.	We need effective tools for the project.
básico	adj	basic (elementary, simple, fundamental)	Necesitas conocimientos básicos de programación.	You need basic programming knowledge.
pobreza	noun	poverty	La pobreza afecta a muchas familias en el mundo.	Poverty affects many families in the world.
adquirir	verb	to acquire	Ella adquirió el libro ayer.	She acquired the book yesterday.
influencia	noun	influence, clout	Las redes sociales aumentan su influencia durante las elecciones locales.	Social media increase their influence during local elections.
sangrar	verb	to bleed	¿Cuánto tiempo sangrará la herida?	How long will the wound bleed?
almohada	noun	pillow (soft cushion used to support the head)	Prefiero dormir con una almohada alta.	I prefer to sleep with a thick pillow.
principalmente	adv	mainly	Comemos verduras principalmente por salud.	We eat vegetables mainly for health reasons.
aquél	pron	that one (far from speaker and listener)	¿Quieres este libro o aquél?	Do you want this book or that one?
musical	adj	musical	Escucharon un programa musical interesante.	They listened to an interesting music program.
musical	noun	musical	Me encantó ese musical familiar.	I loved that family-friendly musical.
organizar	verb	to organize	Necesitamos organizar la reunión de mañana.	We need to organize tomorrow's meeting.
ballena	noun	whale	La ballena necesita salir a respirar aire.	The whale needs to come up to breathe air.
surgir	verb	to arise, emerge, surface, crop up, spring up, pop up	Han surgido dudas sobre el proyecto.	Doubts have arisen about the project.
princesa	noun	princess	La princesa estudia historia y música.	The princess studies history and music.
conflicto	noun	conflict	Evitaron conflictos mediante reglas claras.	They avoided conflicts through clear rules.
convenir	verb	to agree, agree on, agree upon	¿Convienes en que fue un error?	Do you agree that it was a mistake?
boleto	noun	ticket	Compré dos boletos para el concierto.	I bought two tickets for the concert.
lástima	noun	pity	Es una lástima perder el tiempo.	It's a shame to waste time.
usuario	noun	user	Un usuario satisfecho recomienda nuestro servicio.	A satisfied user recommends our service.
aparcar	verb	to park (to bring a vehicle to a halt in a specified place)	¿Dónde podemos aparcar el coche hoy?	Where can we park the car today?
repartir	verb	to share, give out	¿Puedes repartir las invitaciones mañana?	Can you hand out the invitations tomorrow?
contentar	verb	to please	No puedo contentar a todos.	I can't please everyone.
extraordinario	adj	extraordinary	Fue un logro extraordinario para todos.	It was an extraordinary achievement for everyone.
pleno	noun	plenary or joint session	Asistí al pleno extraordinario sobre educación pública.	I attended the extraordinary plenary session on public education.
pleno	adj	full (containing the maximum amount possible)	El cubo está pleno de agua.	The bucket is full of water.
delgado	adj	thin, skinny	Ella está más delgada este verano.	She is thinner this summer.
separado	adj	separated, apart	Mis padres viven separados, pero contentos.	My parents live apart, but they are happy.
toro	noun	bull	Los toros pueden correr muy rápido.	Bulls can run very fast.
